Nom_instance Val_compact Gap_compact temps_compact val_RL temps_RL val_colgen temps_colgen val_stab temps_stab val_heur temps_heur
uniform_2 3.26086 0 0.0274631s 2.21938 0.00498139s 3.26086 0.0265829s 3.26086 0.0393737s 0 4.6e-08s
uniform_3 4.41264 0 0.0589085s 2.51172 0.0041675s 4.41264 0.0845047s 4.41264 0.117415s 0 7e-08s
uniform_4 4.79082 0 0.245265s 3.22881 0.00706077s 4.60165 0.137831s 4.60165 0.186226s 0 5.7e-08s
uniform_5 6.1633 0 0.365938s 3.637 0.00769058s 5.87116 0.302248s 5.87116 0.412779s 0 6.3e-08s
uniform_6 7.85417 0 0.538309s 6.18915 0.00985567s 7.71745 0.549656s 7.71745 0.667422s 0 5.4e-08s
uniform_7 7.23084 0 0.597816s 4.73315 0.0118969s 7.02741 0.510399s 7.02741 0.555888s 0 5.5e-08s
uniform_9 9.75168 0 1.05321s 7.96484 0.0194471s 9.22405 1.94638s 9.22405 1.97541s 0 4.8e-08s
uniform_10 8.8464 0 7.24101s 5.91857 0.0222363s 8.59438 1.76945s 8.59438 1.96949s 0 7.1e-08s
uniform_12 11.0556 0 9.72678s 8.37132 0.0288647s 10.6317 3.94222s 10.6317 4.34507s 0 4.5e-08s
uniform_13 10.6065 0 52.7598s 7.74714 0.0334088s 10.2942 4.10419s 10.2942 4.97787s 0 7.1e-08s
uniform_14 9.65089 0 16.0198s 5.77972 0.0378881s 9.39131 2.88122s 9.39131 2.60418s 0 7.1e-08s
uniform_15 9.71578 0 14.5894s 6.30911 0.04161s 9.51312 2.97944s 9.51312 2.65688s 0 4.9e-08s
uniform_16 15.063 4.91554e-05 440.961s 12.7526 0.050724s 14.4113 9.05818s 14.4113 10.256s 0 7.2e-08s
uniform_17 10.6715 0 59.071s 6.7991 0.0525086s 10.4054 4.48841s 10.4054 4.20928s 0 5.3e-08s
uniform_18 10.5733 0 24.188s 5.84375 0.057308s 10.3853 3.91561s 10.3853 3.29681s 0 4.5e-08s
uniform_19 11.9861 0 125.214s 8.35815 0.068041s 11.6558 7.97397s 11.6558 7.00534s 0 4.5e-08s
uniform_20 14.5196 0 199.791s 11.6217 0.0769662s 14.001 14.122s 14.001 14.9596s 0 4.6e-08s
uniform_21 13.0397 0 220.43s 9.73386 0.0958856s 12.6861 13.6415s 12.6861 14.4901s 0 7.5e-08s
uniform_22 12.6637 0 325.028s 8.67069 0.113457s 12.2278 10.8424s 12.2278 10.6945s 0 7.8e-08s
uniform_23 11.4247 0 33.3821s 7.67337 0.175845s 11.2073 9.83474s 11.2073 8.14348s 0 7.1e-08s
uniform_24 14.1858 0 110.163s 11.0286 0.137106s 13.8328 16.334s 13.8328 15.4801s 0 4.6e-08s
uniform_25 14.3464 0.01179 600.441s 10.16 0.133289s 13.7986 16.1276s 13.7986 15.1837s 0 4.9e-08s
uniform_28 14.3221 1.45448e-10 353.946s 10.1652 0.153429s 13.8938 20.6999s 13.8938 16.4609s 0 5.8e-08s
uniform_29 19.3995 0.0342808 600.806s 16.0705 0.184198s 18.3835 39.651s 18.3835 42.4567s 0 7.1e-08s
uniform_30 14.9403 0.0196413 600.524s 10.392 0.193602s 14.4126 26.4764s 14.4126 21.206s 0 7.1e-08s
uniform_32 16.0449 0.0394167 600.741s 11.2045 0.213696s 15.1128 32.2625s 15.1128 26.8075s 0 7.2e-08s
uniform_33 14.1928 0.0121904 600.48s 9.1582 0.234216s 13.7571 26.2168s 13.7571 23.1452s 0 5.2e-08s
uniform_34 15.2432 0.0161735 600.441s 10.4791 0.248551s 14.7783 30.9781s 14.7783 23.9293s 0 4.7e-08s
uniform_35 13.8934 0.00338248 600.673s 8.75976 0.264051s 13.6322 30.682s 13.6322 24.0996s 0 7.1e-08s
uniform_36 19.4466 0.0413555 600.644s 15.3671 0.274289s 18.4415 70.7465s 18.4415 75.5707s 0 7.9e-08s
uniform_37 15.4127 0.0175719 600.618s 9.85298 0.285379s 14.9173 37.9442s 14.9173 33.0896s 0 6.3e-08s
uniform_38 16.9485 0.032995 600.704s 11.5985 0.313802s 16.3045 45.8765s 16.3045 41.1212s 0 4.6e-08s
uniform_39 19.8193 0.0478322 600.701s 15.5503 0.314692s 18.7326 79.7333s 18.7326 70.762s 0 5.7e-08s
uniform_40 26.0941 0.0720456 600.521s 21.9928 0.375195s 24.1006 122.611s 24.1006 144.432s 0 4.8e-08s
uniform_41 19.7456 0.0693071 600.633s 15.1976 0.375173s 18.3787 93.184s 18.3787 89.8304s 0 7.2e-08s
uniform_42 21.9562 0.0711608 600.789s 17.4 0.405586s 20.432 117.742s 20.432 126.898s 0 6.6e-08s
uniform_43 19.6222 0.0534422 601.056s 14.5128 0.485456s 18.6375 122.774s 18.6375 121.471s 0 5.5e-08s
uniform_44 23.9839 0.0449763 600.998s 19.7475 0.442099s 22.8963 145.315s 22.8963 159.02s 0 7.7e-08s
