Nom_instance Val_compact Gap_compact temps_compact val_RL temps_RL val_colgen temps_colgen val_stab temps_stab val_master temps_master val_bp temps_bp
uniform_2 0 0 0 0 0 3.26086 0.0387752s 0 0 0 0 3.26086 0.000741387s
uniform_3 0 0 0 0 0 4.41264 0.0902096s 0 0 0 0 4.41264 0.00102496s
uniform_4 0 0 0 0 0 4.60165 0.187377s 0 0 0 0 4.79082 0.188512s
uniform_5 0 0 0 0 0 5.87116 0.364195s 0 0 0 0 6.2969 1.01323s
uniform_6 0 0 0 0 0 7.71745 0.713307s 0 0 0 0 8.10201 2.9901s
uniform_7 0 0 0 0 0 7.02741 0.88048s 0 0 0 0 7.4229 2.29494s
uniform_9 0 0 0 0 0 9.22405 2.57825s 0 0 0 0 9.86266 15.6968s
uniform_10 0 0 0 0 0 8.59438 2.61691s 0 0 0 0 9.17813 5.53874s
uniform_12 0 0 0 0 0 10.6317 5.66847s 0 0 0 0 11.6651 14.0652s
uniform_13 0 0 0 0 0 10.2942 6.81238s 0 0 0 0 11.5867 18.7643s
uniform_14 0 0 0 0 0 9.39131 7.06224s 0 0 0 0 10.3731 10.521s
uniform_15 0 0 0 0 0 9.51312 9.04564s 0 0 0 0 9.71578 7.48729s
uniform_16 0 0 0 0 0 14.4113 13.6644s 0 0 0 0 15.1928 65.0172s
uniform_17 0 0 0 0 0 10.4054 11.3105s 0 0 0 0 10.9698 16.3409s
uniform_18 0 0 0 0 0 10.3853 15.3581s 0 0 0 0 10.5733 98.742s
uniform_19 0 0 0 0 0 11.6558 17.827s 0 0 0 0 12.282 46.8863s
uniform_20 0 0 0 0 0 14.001 22.1483s 0 0 0 0 15.0086 152.376s
uniform_21 0 0 0 0 0 12.6861 28.5148s 0 0 0 0 13.1499 91.0751s
uniform_22 0 0 0 0 0 12.2278 21.393s 0 0 0 0 13.0085 86.0043s
uniform_23 0 0 0 0 0 11.2073 24.6009s 0 0 0 0 11.4434 235.202s
uniform_24 0 0 0 0 0 13.8328 35.3105s 0 0 0 0 15.052 237.925s
uniform_25 0 0 0 0 0 13.7986 46.8629s 0 0 0 0 14.5339 130.618s
uniform_28 0 0 0 0 0 13.8938 63.4167s 0 0 0 0 15.4807 602.184s
uniform_29 0 0 0 0 0 18.3835 73.6922s 0 0 0 0 19.6138 808.344s
uniform_30 0 0 0 0 0 14.4126 72.6324s 0 0 0 0 15.5085 165.428s
uniform_32 0 0 0 0 0 15.1128 89.1399s 0 0 0 0 16.7012 391.932s
uniform_33 0 0 0 0 0 13.7571 95.6324s 0 0 0 0 14.4336 177.241s
uniform_34 0 0 0 0 0 14.7783 102.397s 0 0 0 0 15.6104 521.543s
uniform_35 0 0 0 0 0 13.6322 123.83s 0 0 0 0 15.0657 602.407s
uniform_36 0 0 0 0 0 18.4415 146.973s 0 0 0 0 20.7434 829.13s
uniform_37 0 0 0 0 0 14.9173 151.883s 0 0 0 0 15.8206 603.105s
uniform_38 0 0 0 0 0 16.3045 182.053s 0 0 0 0 17.8664 622.271s
uniform_39 0 0 0 0 0 18.7326 183.02s 0 0 0 0 20.3768 911.061s
uniform_40 0 0 0 0 0 24.1006 264.187s 0 0 0 0 26.0503 703.458s
uniform_41 0 0 0 0 0 18.3787 239.314s 0 0 0 0 21.4183 1202.09s
uniform_42 0 0 0 0 0 20.432 254.27s 0 0 0 0 23.3508 1224.39s
uniform_43 0 0 0 0 0 18.6375 291.691s 0 0 0 0 21.1579 1205.86s
uniform_44 0 0 0 0 0 22.8963 302.59s 0 0 0 0 25.2549 912.885s
uniform_45 0 0 0 0 0 17.995 278.847s 0 0 0 0 19.633 1201.47s
uniform_46 0 0 0 0 0 20.9085 359.912s 0 0 0 0 23.9094 1127.5s
uniform_47 0 0 0 0 0 22.0767 461.528s 0 0 0 0 24.897 1411.2s
uniform_48 0 0 0 0 0 17.3326 330.626s 0 0 0 0 19.4567 1204.45s
uniform_49 0 0 0 0 0 17.1667 309.072s 0 0 0 0 18.4709 1046.84s
uniform_50 0 0 0 0 0 18.4724 483.225s 0 0 0 0 20.0545 1204.54s
