Nom_instance Val_compact Gap_compact temps_compact val_RL temps_RL val_colgen temps_RL val_stab temps_stab val_heur temps_heur
uniform_2 3.26086 0 0.0301107s 2.21938 0.00463206s 3.26086 0.0364105s 3.26086 0.0487972s 3.26086 0.00466585s
uniform_3 4.41264 0 0.062251s 2.51172 0.00444314s 4.41264 0.08586s 4.41264 0.0899493s 4.41264 0.00986258s
uniform_4 4.79082 0 0.245051s 3.22881 0.0065147s 4.58898 0.154566s 4.58898 0.159742s 5.187 0.20424s
uniform_5 6.1633 0 0.366114s 3.637 0.00772748s 5.6891 0.293752s 5.6891 0.330074s 9.00141 0.254247s
uniform_6 7.85417 0 0.496765s 6.18915 0.00969212s 7.68117 0.578044s 7.68117 0.656158s 8.7783 0.441129s
uniform_7 7.23084 0 0.617821s 4.73315 0.0119611s 7.02582 0.497004s 7.02582 0.535525s 8.02092 0.856492s
uniform_9 9.75168 0 1.17581s 7.96484 0.0184384s 8.98661 2.05033s 8.98661 2.2581s 10.6225 1.3064s
uniform_10 8.8464 0 7.85003s 5.91857 0.0205442s 8.46089 1.87443s 8.46089 1.88064s 9.99531 1.97718s
uniform_12 11.0556 0 10.3792s 8.37132 0.0288652s 10.3767 3.69729s 10.3767 4.83241s 18.061 57.9807s
uniform_13 10.6065 0 52.4725s 7.74714 0.033274s 10.052 4.15555s 10.052 4.64319s 14.7085 93.3455s
uniform_14 9.65089 0 17.2698s 5.77972 0.037387s 9.3762 2.85121s 9.3762 2.73008s 11.0583 35.0865s
uniform_15 9.71578 0 14.7526s 6.30911 0.0455239s 9.45752 3.1273s 9.45752 2.7754s 10.4375 3.80906s
uniform_16 15.063 4.91554e-05 445.866s 12.7526 0.0517922s 13.7697 9.01004s 13.7697 10.1658s 1e+100 600.026s
uniform_17 10.6715 0 59.1406s 6.7991 0.0520424s 10.3786 5.12986s 10.3786 4.78495s 11.3215 28.7778s
uniform_18 10.5733 0 23.5986s 5.84375 0.0594022s 10.35 4.37182s 10.35 3.71593s 11.4911 26.9879s
uniform_19 11.9861 0 125.828s 8.35815 0.0671163s 11.4993 8.50496s 11.4993 7.59415s 13.8901 600.044s
uniform_20 14.5196 0 201.425s 11.6217 0.0755269s 12.9949 14.3656s 12.9949 15.0996s 1e+100 600.052s
uniform_21 13.0397 0 223.159s 9.73386 0.0957304s 12.3859 14.4191s 12.3859 13.5762s 1e+100 600.065s
uniform_22 12.6637 0 331.162s 8.67069 0.123063s 12.1359 12.6754s 12.1359 11.8636s 1e+100 600.04s
uniform_23 11.4247 0 33.5719s 7.67337 0.113221s 11.1252 10.8935s 11.1252 9.10748s 12.436 58.7528s
uniform_24 14.1858 0 109.702s 11.0286 0.122886s 13.6443 16.0165s 13.6443 14.9048s 1e+100 600.047s
uniform_25 14.3464 0.01179 600.42s 10.16 0.123018s 13.7025 17.5761s 13.7025 15.8117s 1e+100 600.048s
uniform_28 14.3221 1.45448e-10 351.898s 10.1652 0.153875s 13.7468 20.5114s 13.7468 18.9123s 1e+100 600.049s
uniform_29 19.3995 0.0343407 600.759s 16.0705 0.183461s 16.4404 32.1608s 16.4404 31.9009s 1e+100 600.069s
uniform_30 14.9403 0.0198401 600.528s 10.392 0.193918s 14.2201 28.2603s 14.2201 23.38s 1e+100 600.051s
uniform_32 16.0449 0.0395049 600.926s 11.2045 0.224065s 14.7096 32.5227s 14.7096 27.2945s 1e+100 600.061s
uniform_33 14.1928 0.0121904 600.459s 9.1582 0.243968s 13.6904 31.4324s 13.6904 27.3519s 1e+100 600.064s
uniform_34 15.2432 0.0161735 600.414s 10.4791 0.264837s 14.6342 35.6468s 14.6342 30.4047s 1e+100 600.045s
uniform_35 13.8934 0.00335294 600.727s 8.75976 0.254475s 13.5831 32.2623s 13.5831 26.4349s 14.7114 600.1s
